product_name,category,price,stock_quantity,rating,num_reviews,seller_name,best_rank,attributes
Spykar Super Slim Fit Jeans,Jeans,2199,85,4.2,620,UrbanStyle,52,"{""brand"":""Spykar"",""waist"":32,""length"":32,""fit"":""Super Slim"",""stretch"":true,""color"":""Ice Blue""}"
Calvin Klein Skinny Fit Jeans,Jeans,6999,40,4.7,350,EliteStore,32,"{""brand"":""Calvin Klein"",""waist"":31,""length"":32,""fit"":""Skinny"",""stretch"":true,""color"":""Dark Grey""}"
Tommy Hilfiger Bleecker Slim Jeans,Jeans,5999,50,4.5,410,EliteStore,36,"{""brand"":""Tommy Hilfiger"",""waist"":33,""length"":32,""fit"":""Slim"",""stretch"":true,""color"":""Mid Blue""}"
Peter England Regular Fit Jeans,Jeans,1299,0,3.9,350,EliteStore,78,"{""brand"":""Peter England"",""waist"":34,""length"":32,""fit"":""Regular"",""stretch"":false,""color"":""Black""}"
United Colors of Benetton Slim Jeans,Jeans,2799,70,4.3,280,FashionHub,58,"{""brand"":""UCB"",""waist"":32,""length"":32,""fit"":""Slim"",""stretch"":true,""color"":""Dark Indigo""}"
Dell Inspiron 14,Laptops,48990,45,4.3,520,TechWorld,28,"{""brand"":""Dell"",""processor"":""Intel i5-1335U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""14 inch"",""graphics"":""Intel Iris Xe"",""os"":""Windows 11""}"
HP Victus 15 Ryzen 7,Laptops,68990,25,4.5,880,TechWorld,18,"{""brand"":""HP"",""processor"":""Ryzen 7 7735HS"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch"",""graphics"":""RTX 4050"",""os"":""Windows 11""}"
Lenovo Legion Slim 5,Laptops,104990,15,4.7,340,TechWorld,15,"{""brand"":""Lenovo"",""processor"":""Ryzen 7 7840HS"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""16 inch WQXGA"",""graphics"":""RTX 4060"",""os"":""Windows 11""}"
Apple MacBook Air M3,Laptops,114900,60,4.9,1500,TechWorld,4,"{""brand"":""Apple"",""processor"":""Apple M3 8-Core"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""13.6 inch Liquid Retina"",""graphics"":""10-Core GPU"",""os"":""macOS""}"
Apple MacBook Pro 14 M3 Pro,Laptops,199900,0,4.9,450,TechWorld,12,"{""brand"":""Apple"",""processor"":""Apple M3 Pro"",""ram"":""18GB"",""storage"":""512GB SSD"",""display"":""14.2 inch Liquid Retina XDR"",""graphics"":""14-Core GPU"",""os"":""macOS""}"
Asus ROG Zephyrus G14,Laptops,149990,12,4.8,210,TechWorld,22,"{""brand"":""Asus"",""processor"":""Ryzen 9 8945HS"",""ram"":""32GB"",""storage"":""1TB SSD"",""display"":""14 inch OLED"",""graphics"":""RTX 4070"",""os"":""Windows 11""}"
Acer Aspire Lite 15,Laptops,29990,110,4.0,1450,Digital Planet,35,"{""brand"":""Acer"",""processor"":""Intel i3-1215U"",""ram"":""8GB"",""storage"":""512GB SSD"",""display"":""15.6 inch"",""graphics"":""Intel UHD"",""os"":""Windows 11""}"
HP Pavilion 15,Laptops,58990,30,4.3,640,Digital Planet,30,"{""brand"":""HP"",""processor"":""Intel i5-1340P"",""ram"":""16GB"",""storage"":""1TB SSD"",""display"":""15.6 inch"",""graphics"":""Intel Iris Xe"",""os"":""Windows 11""}"
Asus Vivobook 16X,Laptops,64990,0,4.4,490,Digital Planet,34,"{""brand"":""Asus"",""processor"":""Intel i5-12500H"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""16 inch"",""graphics"":""RTX 3050"",""os"":""Windows 11""}"
Lenovo IdeaPad Slim 3,Laptops,36990,90,4.1,1120,Digital Planet,32,"{""brand"":""Lenovo"",""processor"":""Intel i3-1315U"",""ram"":""8GB"",""storage"":""512GB SSD"",""display"":""15.6 inch"",""graphics"":""Intel UHD"",""os"":""Windows 11""}"
Samsung Galaxy Book4,Laptops,74990,18,4.5,180,TechWorld,45,"{""brand"":""Samsung"",""processor"":""Intel Core 5 120U"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch"",""graphics"":""Intel Graphics"",""os"":""Windows 11""}"
MSI Thin 15,Laptops,51990,22,4.2,310,Digital Planet,50,"{""brand"":""MSI"",""processor"":""Intel i5-12450H"",""ram"":""16GB"",""storage"":""512GB SSD"",""display"":""15.6 inch"",""graphics"":""RTX 2050"",""os"":""Windows 11""}"
Samsung Galaxy S25 Ultra,Phones,124999,55,4.9,1850,TechWorld,3,"{""brand"":""Samsung"",""storage"":""256GB"",""ram"":""12GB"",""display"":""6.8 inch Dynamic AMOLED"",""battery"":""5000mAh"",""camera"":""200MP"",""color"":""Titanium Gray""}"
Samsung Galaxy S25,Phones,79999,70,4.7,920,TechWorld,10,"{""brand"":""Samsung"",""storage"":""128GB"",""ram"":""8GB"",""display"":""6.2 inch Dynamic AMOLED"",""battery"":""4000mAh"",""camera"":""50MP"",""color"":""Onyx Black""}"
Apple iPhone 16 Pro Max,Phones,144900,40,4.9,2500,TechWorld,2,"{""brand"":""Apple"",""storage"":""256GB"",""ram"":""8GB"",""display"":""6.9 inch Super Retina"",""battery"":""4685mAh"",""camera"":""48MP"",""color"":""Desert Titanium""}"
Apple iPhone 16,Phones,79900,110,4.7,1980,TechWorld,6,"{""brand"":""Apple"",""storage"":""128GB"",""ram"":""8GB"",""display"":""6.1 inch Super Retina"",""battery"":""3561mAh"",""camera"":""48MP"",""color"":""Ultramarine""}"
OnePlus 12,Phones,64999,0,4.6,1550,Digital Planet,14,"{""brand"":""OnePlus"",""storage"":""512GB"",""ram"":""16GB"",""display"":""6.82 inch AMOLED"",""battery"":""5400mAh"",""camera"":""50MP"",""color"":""Flowy Emerald""}"
OnePlus Nord CE 4 Lite,Phones,19999,140,4.1,2890,Digital Planet,25,"{""brand"":""OnePlus"",""storage"":""128GB"",""ram"":""8GB"",""display"":""6.67 inch AMOLED"",""battery"":""5500mAh"",""camera"":""50MP"",""color"":""Super Canyon""}"
Google Pixel 9 Pro,Phones,109999,25,4.8,610,TechWorld,15,"{""brand"":""Google"",""storage"":""256GB"",""ram"":""16GB"",""display"":""6.3 inch Actua"",""battery"":""4700mAh"",""camera"":""50MP"",""color"":""Obsidian""}"
Redmi Note 13 Pro,Phones,25999,180,4.2,4200,Digital Planet,18,"{""brand"":""Xiaomi"",""storage"":""256GB"",""ram"":""8GB"",""display"":""6.67 inch AMOLED"",""battery"":""5100mAh"",""camera"":""200MP"",""color"":""Coral Purple""}"
Realme GT 6T,Phones,30999,85,4.4,850,Digital Planet,29,"{""brand"":""Realme"",""storage"":""256GB"",""ram"":""12GB"",""display"":""6.78 inch LTPO"",""battery"":""5500mAh"",""camera"":""50MP"",""color"":""Fluid Silver""}"
Motorola Edge 50 Pro,Phones,31999,0,4.5,1150,TechWorld,22,"{""brand"":""Motorola"",""storage"":""256GB"",""ram"":""12GB"",""display"":""6.7 inch pOLED"",""battery"":""4500mAh"",""camera"":""50MP"",""color"":""Black Beauty""}"
Sony WH-1000XM5,Headphones,29990,45,4.8,3800,TechWorld,4,"{""brand"":""Sony"",""type"":""Over Ear"",""wireless"":true,""noise_cancelling"":true,""battery"":""30 hours"",""color"":""Silver""}"
Bose QuietComfort Ultra,Headphones,35900,20,4.7,1400,TechWorld,10,"{""brand"":""Bose"",""type"":""Over Ear"",""wireless"":true,""noise_cancelling"":true,""battery"":""24 hours"",""color"":""Black""}"
Sennheiser Accentum Wireless,Headphones,12990,65,4.4,510,Digital Planet,38,"{""brand"":""Sennheiser"",""type"":""Over Ear"",""wireless"":true,""noise_cancelling"":true,""battery"":""50 hours"",""color"":""White""}"
JBL Tune 770NC,Headphones,5999,140,4.2,2890,Digital Planet,20,"{""brand"":""JBL"",""type"":""Over Ear"",""wireless"":true,""noise_cancelling"":true,""battery"":""70 hours"",""color"":""Blue""}"
Sony WH-CH520,Headphones,4490,0,4.3,4500,Digital Planet,12,"{""brand"":""Sony"",""type"":""On Ear"",""wireless"":true,""noise_cancelling"":false,""battery"":""50 hours"",""color"":""Blue""}"
boAt Rockerz 450,Headphones,1499,350,4.1,48000,FashionHub,1,"{""brand"":""boAt"",""type"":""On Ear"",""wireless"":true,""noise_cancelling"":false,""battery"":""15 hours"",""color"":""Hazel Beige""}"
Sony WF-1000XM5,Earbuds,19990,35,4.6,1950,TechWorld,16,"{""brand"":""Sony"",""wireless"":true,""noise_cancelling"":true,""battery"":""8 hours"",""color"":""Black""}"
Apple AirPods Pro 2,Earbuds,24900,110,4.8,4200,TechWorld,5,"{""brand"":""Apple"",""wireless"":true,""noise_cancelling"":true,""battery"":""6 hours"",""color"":""White""}"
OnePlus Buds 3,Earbuds,5499,190,4.4,3200,Digital Planet,15,"{""brand"":""OnePlus"",""wireless"":true,""noise_cancelling"":true,""battery"":""10 hours"",""color"":""Splendid Blue""}"
Realme Buds Air 6 Pro,Earbuds,4999,0,4.3,1800,Digital Planet,24,"{""brand"":""Realme"",""wireless"":true,""noise_cancelling"":true,""battery"":""7.5 hours"",""color"":""Titanium Twilight""}"
boAt Airdopes 131,Earbuds,999,480,4.0,65000,FashionHub,2,"{""brand"":""boAt"",""wireless"":true,""noise_cancelling"":false,""battery"":""3 hours"",""color"":""Active Black""}"
Titan Regalia Premium Analog,Watches,7995,65,4.4,310,EliteStore,40,"{""brand"":""Titan"",""strap"":""Metal"",""dial"":""Champagne"",""water_resistant"":""50m"",""gender"":""Men""}"
Casio Enticer Minimalist,Watches,2995,120,4.3,1850,EliteStore,25,"{""brand"":""Casio"",""strap"":""Leather"",""dial"":""Black"",""water_resistant"":""50m"",""gender"":""Men""}"
Fossil Grant Chronograph,Watches,10995,0,4.5,1420,EliteStore,28,"{""brand"":""Fossil"",""strap"":""Leather"",""dial"":""Blue"",""water_resistant"":""50m"",""gender"":""Men""}"
Seiko 5 Sports Automatic,Watches,24000,20,4.7,560,EliteStore,22,"{""brand"":""Seiko"",""strap"":""Stainless Steel"",""dial"":""Black"",""water_resistant"":""100m"",""gender"":""Men""}"
Casio G-Shock DW-5600,Watches,6495,150,4.8,4500,SportX,6,"{""brand"":""Casio"",""strap"":""Resin"",""dial"":""Grey"",""water_resistant"":""200m"",""gender"":""Unisex""}"
Daniel Wellington Classic Sheffield,Watches,14999,40,4.2,340,EliteStore,55,"{""brand"":""Daniel Wellington"",""strap"":""Leather"",""dial"":""White"",""water_resistant"":""30m"",""gender"":""Unisex""}"
Apple Watch Series 10,Smartwatches,46900,45,4.8,920,TechWorld,12,"{""brand"":""Apple"",""display"":""Retina LTPO OLED"",""gps"":true,""bluetooth"":""5.3"",""battery"":""18 hours"",""health_tracking"":true}"
Samsung Galaxy Watch 7,Smartwatches,32999,55,4.6,680,TechWorld,18,"{""brand"":""Samsung"",""display"":""Super AMOLED"",""gps"":true,""bluetooth"":""5.3"",""battery"":""40 hours"",""health_tracking"":true}"
Amazfit Active Smartwatch,Smartwatches,11999,110,4.3,1420,Digital Planet,25,"{""brand"":""Amazfit"",""display"":""AMOLED"",""gps"":true,""bluetooth"":""5.2"",""battery"":""14 days"",""health_tracking"":true}"
Noise ColorFit Pulse 4,Smartwatches,2499,0,4.0,8900,FashionHub,11,"{""brand"":""Noise"",""display"":""TFT LCD"",""gps"":false,""bluetooth"":""5.3"",""battery"":""7 days"",""health_tracking"":true}"
OnePlus Watch 2,Smartwatches,24999,30,4.5,410,TechWorld,32,"{""brand"":""OnePlus"",""display"":""AMOLED"",""gps"":true,""bluetooth"":""5.0"",""battery"":""100 hours"",""health_tracking"":true}"
Sony Alpha 7 IV,Cameras,218900,12,4.8,430,TechWorld,15,"{""brand"":""Sony"",""type"":""Mirrorless"",""sensor"":""Full Frame"",""megapixels"":33,""video_resolution"":""4K 60p"",""wifi"":true}"
Canon EOS R10,Cameras,75990,20,4.6,310,TechWorld,28,"{""brand"":""Canon"",""type"":""Mirrorless"",""sensor"":""APS-C"",""megapixels"":24.2,""video_resolution"":""4K 60p"",""wifi"":true}"
GoPro HERO12 Black,Cameras,38000,85,4.7,1120,SportX,14,"{""brand"":""GoPro"",""type"":""Action"",""sensor"":""1/1.9 inch"",""megapixels"":27,""video_resolution"":""5.3K 60p"",""wifi"":true}"
Insta360 X4,Cameras,53999,0,4.8,220,SportX,30,"{""brand"":""Insta360"",""type"":""360 Action"",""sensor"":""1/2 inch"",""megapixels"":72,""video_resolution"":""8K 30p"",""wifi"":true}"
Atomic Habits,Books,350,450,4.8,12500,BookVerse,1,"{""author"":""James Clear"",""publisher"":""Penguin"",""language"":""English"",""pages"":320,""genre"":""Self Help""}"
The Psychology of Money,Books,290,380,4.7,9800,BookVerse,2,"{""author"":""Morgan Housel"",""publisher"":""Harriman House"",""language"":""English"",""pages"":252,""genre"":""Finance""}"
Ikigai,Books,299,500,4.6,8500,BookVerse,3,"{""author"":""Hector Garcia"",""publisher"":""Random House"",""language"":""English"",""pages"":208,""genre"":""Self Help""}"
Sapiens,Books,450,0,4.7,6400,BookVerse,5,"{""author"":""Yuval Noah Harari"",""publisher"":""Vintage"",""language"":""English"",""pages"":512,""genre"":""History""}"
Rich Dad Poor Dad,Books,320,410,4.5,14200,BookVerse,4,"{""author"":""Robert T. Kiyosaki"",""publisher"":""Warner Books"",""language"":""English"",""pages"":336,""genre"":""Personal Finance""}"
Sleepwell Ortho Mattress,Furniture,12500,30,4.3,640,HomeNest,42,"{""material"":""Memory Foam"",""color"":""White"",""room"":""Bedroom"",""assembly_required"":false}"
Sheesham Wood Coffee Table,Furniture,6999,45,4.4,320,HomeNest,48,"{""material"":""Sheesham Wood"",""color"":""Walnut"",""room"":""Living Room"",""assembly_required"":true}"
Nilkamal Freedom Plastic Cabinet,Furniture,3499,150,4.1,1420,HomeNest,35,"{""material"":""Plastic"",""color"":""Rust"",""room"":""Study Room"",""assembly_required"":true}"
Solimo 3-Seater Fabric Sofa,Furniture,18999,0,4.2,410,HomeNest,50,"{""material"":""Fabric and Wood"",""color"":""Grey"",""room"":""Living Room"",""assembly_required"":true}"
Prestige Omega Deluxe Cookware Set,Kitchen,2499,180,4.2,4200,HomeNest,14,"{""material"":""Aluminium"",""capacity"":""3 Pieces"",""dishwasher_safe"":true}"
Pigeon 1.5L Electric Kettle,Kitchen,699,500,4.0,18500,HomeNest,3,"{""material"":""Stainless Steel"",""capacity"":""1.5L"",""dishwasher_safe"":false}"
Philips Daily Collection Toaster,Kitchen,1999,110,4.3,3100,Digital Planet,18,"{""material"":""Plastic"",""capacity"":""2 Slices"",""dishwasher_safe"":false}"
L'Oreal Paris Hyaluronic Acid Serum,Beauty,499,350,4.4,8500,Beauty Basket,4,"{""brand"":""L'Oreal"",""skin_type"":""All"",""volume"":""30ml"",""organic"":false}"
The Derma Co 10% Niacinamide Serum,Beauty,599,0,4.3,4200,Beauty Basket,8,"{""brand"":""The Derma Co"",""skin_type"":""Acne-prone"",""volume"":""30ml"",""organic"":false}"
Nivea Soft Light Moisturizer,Beauty,299,600,4.5,15200,Beauty Basket,2,"{""brand"":""Nivea"",""skin_type"":""Normal"",""volume"":""200ml"",""organic"":false}"
Minimalist 10% Vitamin C Serum,Beauty,699,280,4.3,6100,Beauty Basket,7,"{""brand"":""Minimalist"",""skin_type"":""All"",""volume"":""30ml"",""organic"":false}"
Cosrx Snail Mucin Essence,Beauty,1450,140,4.7,2800,Beauty Basket,12,"{""brand"":""Cosrx"",""skin_type"":""Dry"",""volume"":""100ml"",""organic"":true}"
Nivia Storm Football,Sports,399,450,4.2,12500,SportX,5,"{""sport"":""Football"",""material"":""Rubber"",""size"":""5"",""waterproof"":true}"
Yonex ZR 100 Light Badminton Racket,Sports,699,320,4.1,8900,SportX,9,"{""sport"":""Badminton"",""material"":""Aluminium"",""size"":""Standard"",""waterproof"":false}"
Nivia Heavy Tennis Ball (Pack of 6),Sports,450,600,4.3,3400,SportX,15,"{""sport"":""Cricket"",""material"":""Rubber"",""size"":""Standard"",""waterproof"":true}"
Kore DM 20Kg Home Gym Set,Fitness,1899,0,3.9,4500,SportX,24,"{""sport"":""Fitness"",""material"":""PVC"",""size"":""20Kg"",""waterproof"":true}"
Boldfit Yoga Mat 6mm,Fitness,699,400,4.4,9800,SportX,3,"{""sport"":""Yoga"",""material"":""TPE"",""size"":""Standard"",""waterproof"":true}"
Fitkit FT098 Series Treadmill,Fitness,14999,15,4.1,850,SportX,44,"{""sport"":""Running"",""material"":""Alloy Steel"",""size"":""Motorized"",""waterproof"":false}"
Skybags Cardiff 35L Backpack,Backpacks,1299,220,4.2,4200,FashionHub,16,"{""brand"":""Skybags"",""capacity"":""35L"",""color"":""Blue"",""water_resistant"":true,""material"":""Polyester""}"
American Tourister Cruze 32L,Backpacks,1899,150,4.4,2800,FashionHub,18,"{""brand"":""American Tourister"",""capacity"":""32L"",""color"":""Black"",""water_resistant"":true,""material"":""Polyester""}"
Wildcraft Workpacks Plus 38L,Backpacks,2199,0,4.5,1950,SportX,20,"{""brand"":""Wildcraft"",""capacity"":""38L"",""color"":""Grey"",""water_resistant"":true,""material"":""Nylon""}"
